City                    "Alternative name"       "Year granted"   "Cathedral (pre-1888)"                                    "City council"                Nation/Region      Population   
Nottingham              Nottingham               1897             "*not applicable*"                                        "Local government district"   England             305680       
Oxford                  Oxford                   1542             "Church of Christ"                                        "Local government district"   England             151906       
Perth                   Pairth                   2012             "*notapplicable*"                                         none                          Scotland             45770        
Peterborough            Peterborough             1541             "Church of St Peter, St Paul, & St Andrew"                "Local government district"   England             183631       
Plymouth                Plymouth                 1928             "*not applicable*"                                        "Local government district"   England             256384       
Portsmouth              Portsmouth               1926             "*not applicable*"                                        "Local government district"   England             205056       
Preston                 Preston                  2002             "*not applicable*"                                        "Local government district"   England             140202       
Ripon                   Ripon                    1836             "Church of SS Peter & Wilfrid"                            "Civil parish"                England              16702        
Salford                 Salford                  1926             "*not applicable*"                                        "Local government district"   England             233933       
Salisbury               Salisbury                1227             "Church of St Mary"                                       "Civil parish"                England              40302        
Sheffield               Sheffield                1893             "*not applicable*"                                        "Local government district"   England             552698       
Southampton             Southampton              1964             "*not applicable*"                                        "Local government district"   England             236882       
"St Albans"             Verulamium               1877             "Church of St Alban"                                      "Local government district"   England             140644       
"St Asaph"              Llanelwy                 2012             "*not applicable*"                                        Community                     Wales                 3355         
"St David's"            Tyddewi                  1994             "*not applicable*"                                        Community                     Wales                 1841         
Stirling                Stirlin                  2002             "*not applicable*"                                        none                          Scotland             34790        
Stoke-on-Trent          Stoke-on-Trent           1925             "*not applicable*"                                        "Local government district"   England             249008       
Sunderland              Sunderland               1992             "*not applicable*"                                        "Local government district"   England             275506       
Swansea9                Abertawe                 1969             "*not applicable*"                                        "Local government district"   Wales               239023       
Truro                   Truru                    1877             "Church of St Mary"                                       "Civil parish"                England              18766        
Wakefield               Wakefield                1888             "Church of All Saints"                                    "Local government district"   England             325837       
Wells                   Wells                     927             "Church of St Andrew"                                     "Civil parish"                England              10536        
Winchester              "Venta Belgarum"          927             "Church of the Holy Trinity"                              "Local government district"   England             116595       
Wolverhampton           Wolverhampton            2000             "*not applicable*"                                        "Local government district"   England             249470       
Worcester               Worcester                 927             "Church of Christ & St Mary"                              "Local government district"   England              98768        
York                    Eboracum                  927             "Church of St Peter"                                      "Local government district"   England             198051       
