date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
20200206,4.0,3.5,68.0,9.6,4.8,0.0,0.0,103250.0,
20200207,4.0,5.6,80.0,9.4,5.0,0.7,1.2,102090.0,
20200208,7.0,4.3,77.0,11.1,9.5,7.9,0.0,101480.0,
20200209,8.0,3.4,68.0,13.2,10.4,7.6,13.0,99660.0,
20200210,7.0,0.1,24.0,9.7,7.5,5.4,3.0,99620.0,
20200211,2.0,3.0,68.0,8.5,6.0,3.5,0.0,100660.0,
20200212,4.0,6.5,99.0,9.1,5.6,2.2,10.0,101440.0,
20200213,4.0,6.1,91.0,10.5,8.0,5.6,1.0,99860.0,
20200214,7.0,1.1,56.0,12.6,7.2,1.9,3.0,101600.0,
20200215,8.0,3.0,77.0,13.0,11.4,9.9,8.0,100800.0,
20200216,6.0,0.0,20.0,13.1,12.5,12.0,12.2,99490.0,
20200217,7.0,0.2,29.0,11.5,8.4,5.4,0.2,100830.0,
20200218,7.0,4.2,88.0,11.5,7.9,4.4,2.4,101820.0,
20200219,8.0,2.6,74.0,9.2,5.9,2.6,1.2,101890.0,
20200220,4.0,0.0,36.0,10.4,9.5,8.6,5.0,101100.0,
20200221,5.0,1.0,42.0,11.0,7.3,3.7,0.0,102250.0,
20200222,7.0,0.0,67.0,14.4,11.7,9.1,0.4,101830.0,
20200223,7.0,1.6,70.0,15.1,12.0,8.9,2.8,101660.0,
20200224,7.0,1.3,61.0,12.2,8.9,5.7,2.0,101230.0,
20200225,6.0,0.1,30.0,9.7,7.1,4.6,1.0,100130.0,
20200226,5.0,1.7,84.0,9.2,5.1,1.1,4.2,100280.0,
20200227,3.0,4.9,100.0,8.2,5.6,3.1,5.0,100300.0,
20200228,8.0,4.5,91.0,12.0,6.0,0.1,6.0,100770.0,
20200229,3.0,0.7,34.0,9.9,9.4,9.0,7.0,98710.0,
20200301,3.0,4.5,99.0,10.6,7.6,4.6,5.0,98860.0,
20200302,3.0,7.5,137.0,10.1,7.0,3.9,0.2,98940.0,
20200303,4.0,3.6,106.0,10.6,6.0,1.5,0.8,100130.0,
20200304,8.0,2.7,92.0,8.4,4.2,0.0,6.0,100840.0,
20200305,8.0,0.0,54.0,6.1,5.7,5.4,10.0,99560.0,
20200306,1.0,1.2,41.0,10.1,6.6,3.1,0.0,100350.0,
20200307,7.0,8.9,165.0,13.4,7.5,1.6,0.4,101540.0,
20200308,3.0,1.4,96.0,14.4,11.9,9.4,2.0,100640.0,
20200309,7.0,4.7,120.0,11.1,7.8,4.6,7.0,101120.0,
20200310,8.0,1.6,79.0,,,6.4,,100480.0,
20200311,4.0,0.8,18.0,15.5,11.7,8.0,2.0,100930.0,
20200312,2.0,5.4,147.0,11.0,7.7,4.5,1.2,100930.0,
20200313,6.0,6.7,144.0,13.1,9.3,5.5,3.0,101780.0,
20200314,7.0,3.1,115.0,13.6,10.1,6.6,0.8,101430.0,
20200315,7.0,1.3,104.0,12.2,10.9,9.6,2.0,100850.0,
20200316,4.0,1.3,73.0,13.0,7.9,2.9,0.0,101960.0,
20200317,7.0,10.2,198.0,13.6,9.0,4.5,0.0,102720.0,
20200318,7.0,0.6,88.0,15.6,12.5,9.5,0.8,102480.0,
20200319,8.0,0.3,65.0,8.0,7.0,6.1,0.8,102600.0,
20200320,7.0,0.0,35.0,10.1,8.1,6.1,0.0,102830.0,
20200321,5.0,2.1,130.0,11.0,7.4,3.9,0.0,102690.0,
20200322,2.0,10.8,229.0,11.4,7.4,3.4,0.0,102630.0,
20200323,1.0,11.7,238.0,14.0,8.0,2.1,0.0,102640.0,
20200324,3.0,13.4,244.0,15.6,8.0,0.5,0.0,102570.0,
20200325,0.0,13.4,239.0,14.2,7.3,0.4,0.0,102460.0,
20200326,2.0,13.6,247.0,14.0,7.5,1.1,0.0,102320.0,
20200327,0.0,13.1,241.0,14.0,7.7,1.5,0.0,102380.0,
20200328,3.0,12.0,231.0,11.9,8.2,4.5,0.0,102800.0,
20200329,1.0,6.1,160.0,8.1,5.8,3.5,0.0,103720.0,
20200330,6.0,5.9,158.0,10.7,6.4,2.1,0.0,103540.0,
20200331,3.0,1.4,105.0,11.4,7.0,2.6,0.0,103160.0,
20200401,5.0,5.4,162.0,9.4,4.2,-0.9,0.0,102490.0,
20200402,6.0,3.6,129.0,14.1,9.8,5.5,0.0,101650.0,
20200403,6.0,2.8,138.0,14.2,10.5,6.9,0.0,101730.0,
20200404,1.0,6.5,183.0,16.6,9.6,2.7,0.0,101990.0,
20200405,2.0,10.2,241.0,21.7,13.8,6.0,0.4,101450.0,
20200406,2.0,12.7,274.0,18.4,14.5,10.6,0.2,101560.0,
20200407,5.0,5.0,189.0,20.1,12.3,4.6,0.0,102830.0,
20200408,4.0,10.1,232.0,22.0,15.9,9.9,0.0,102490.0,
20200409,3.0,4.4,185.0,23.2,15.9,8.6,0.0,102450.0,
20200410,4.0,12.4,264.0,24.2,16.4,8.7,0.0,102480.0,
20200411,6.0,13.1,268.0,25.1,17.1,9.1,0.0,102240.0,
20200412,6.0,10.4,248.0,24.9,17.2,9.6,0.0,101490.0,
20200413,3.0,11.0,241.0,11.9,10.0,8.2,0.0,102390.0,
20200414,1.0,9.9,253.0,13.5,8.3,3.2,0.0,102870.0,
20200415,4.0,14.5,305.0,19.1,10.8,2.6,0.0,102310.0,
20200416,7.0,13.6,289.0,19.6,12.1,4.6,0.0,101630.0,
20200417,7.0,6.4,187.0,14.7,11.9,9.1,16.0,101660.0,
20200418,7.0,2.3,121.0,16.1,11.3,6.5,1.0,101750.0,
20200419,0.0,5.1,190.0,18.6,12.4,6.2,0.0,102010.0,
20200420,0.0,12.5,307.0,18.6,12.1,5.6,0.0,101790.0,
20200421,2.0,14.7,320.0,18.9,13.5,8.2,0.0,101640.0,
20200422,2.0,14.9,324.0,21.5,14.3,7.1,0.0,101900.0,
20200423,4.0,14.2,316.0,24.1,15.3,6.6,0.0,101950.0,
20200424,1.0,13.6,311.0,22.0,14.9,7.9,0.0,101610.0,
20200425,0.0,14.3,312.0,16.9,11.9,6.9,0.0,101530.0,
20200426,1.0,12.1,316.0,20.6,12.4,4.2,0.0,101240.0,
20200427,6.0,14.0,309.0,18.6,12.8,7.1,3.0,100780.0,
20200428,8.0,3.0,180.0,8.6,8.5,8.5,11.0,100480.0,
20200429,7.0,0.0,51.0,14.2,10.7,7.2,1.6,100220.0,
20200430,6.0,2.3,161.0,14.2,10.2,6.2,4.2,99510.0,
20200501,6.0,4.2,172.0,15.6,11.5,7.5,0.2,99850.0,
20200502,2.0,7.9,259.0,17.6,11.6,5.7,0.0,100960.0,
20200503,8.0,12.0,311.0,15.2,11.9,8.6,0.2,101550.0,
20200504,6.0,1.0,142.0,17.9,13.8,9.7,0.0,101870.0,
20200505,1.0,9.3,270.0,15.5,11.7,8.0,,102090.0,
20200506,0.0,2.4,356.0,,,,,102510.0,
20200507,4.0,15.3,358.0,23.1,14.5,6.0,0.0,102310.0,
20200508,5.0,14.6,335.0,24.2,17.1,10.1,0.0,101820.0,
20200509,6.0,13.1,327.0,25.0,17.8,10.6,0.0,101300.0,
20200510,8.0,12.5,320.0,18.1,14.8,11.6,0.0,101010.0,
20200511,5.0,3.9,170.0,12.6,8.6,4.7,0.0,101910.0,
20200512,5.0,7.7,278.0,16.2,9.3,2.4,0.0,102130.0,
20200513,4.0,8.7,293.0,13.4,9.7,6.1,0.0,101710.0,
20200514,1.0,5.6,262.0,14.7,8.9,3.1,0.0,102260.0,
20200515,3.0,13.1,344.0,19.6,11.3,3.1,0.0,102380.0,
20200516,5.0,11.7,311.0,19.1,13.3,7.6,0.0,102440.0,
20200517,7.0,7.7,278.0,21.1,14.4,7.7,0.0,102380.0,
20200518,6.0,9.7,305.0,24.0,17.1,10.2,0.0,102360.0,
20200519,2.0,13.1,362.0,26.1,18.8,11.6,0.0,102330.0,
20200520,5.0,13.8,364.0,27.9,20.5,13.1,0.0,102140.0,
20200521,5.0,16.0,380.0,27.5,20.3,13.1,0.0,101920.0,
20200522,2.0,13.3,354.0,23.2,20.0,16.9,0.0,101480.0,
20200523,3.0,8.8,304.0,20.0,15.6,11.2,2.0,102170.0,
20200524,3.0,11.0,320.0,22.6,16.5,10.5,0.0,102970.0,
20200525,2.0,8.5,305.0,26.1,18.1,10.1,0.0,103420.0,
20200526,7.0,15.2,386.0,26.6,19.1,11.6,0.0,103520.0,
20200527,6.0,13.0,343.0,26.4,20.0,13.7,0.0,103510.0,
20200528,2.0,11.2,340.0,22.6,17.1,11.6,0.0,103420.0,
20200529,1.0,15.4,395.0,24.4,17.7,11.1,0.0,102810.0,
20200530,0.0,15.7,397.0,25.7,17.8,10.0,0.0,102330.0,
20200531,0.0,15.3,398.0,25.4,18.9,12.5,0.0,102240.0,
20200601,1.0,15.7,399.0,26.9,19.1,11.4,0.0,102250.0,
20200602,4.0,15.6,394.0,25.5,18.9,12.4,0.0,101950.0,
20200603,8.0,13.1,348.0,19.2,16.4,13.6,0.4,100920.0,
20200604,7.0,0.3,121.0,16.6,13.6,10.6,,100410.0,
20200605,4.0,1.2,194.0,16.5,,,1.0,99710.0,
20200606,7.0,5.4,234.0,14.6,10.9,7.2,10.0,99900.0,
20200607,7.0,3.4,189.0,18.7,13.4,8.1,2.0,100810.0,
20200608,4.0,4.6,212.0,16.6,13.5,10.5,0.0,101820.0,
20200609,7.0,2.5,229.0,20.1,15.3,10.6,0.0,102020.0,
20200610,8.0,4.5,249.0,16.5,14.6,12.7,5.0,101570.0,
20200611,7.0,0.5,108.0,21.5,16.2,11.0,0.8,101170.0,
20200612,7.0,1.7,156.0,21.5,17.6,13.7,2.0,100590.0,
20200613,4.0,3.1,192.0,25.1,18.7,12.4,2.0,100770.0,
20200614,6.0,8.4,302.0,23.0,18.0,13.0,0.0,101360.0,
20200615,5.0,8.8,305.0,25.4,18.5,11.6,1.0,101610.0,
20200616,4.0,8.6,299.0,25.0,19.3,13.6,0.2,101440.0,
20200617,7.0,8.9,273.0,22.6,17.7,12.9,11.0,101210.0,
20200618,5.0,0.9,164.0,19.1,16.5,13.9,9.8,101040.0,
20200619,7.0,2.8,149.0,20.9,17.2,13.5,0.4,101360.0,
20200620,4.0,2.1,191.0,23.1,17.5,11.9,0.6,101930.0,
20200621,4.0,7.0,280.0,24.0,19.0,14.1,0.6,101650.0,
20200622,3.0,7.7,292.0,24.0,17.2,10.4,0.0,102440.0,
20200623,1.0,15.9,402.0,28.6,20.2,11.9,0.0,102370.0,
20200624,0.0,15.7,388.0,32.6,24.6,16.7,0.0,102020.0,
20200625,1.0,15.7,389.0,33.5,25.9,18.4,0.0,101560.0,
20200626,4.0,15.2,380.0,31.1,25.3,19.5,3.0,100920.0,
20200627,5.0,11.6,321.0,21.5,18.4,15.4,0.8,100510.0,
20200628,5.0,2.6,198.0,22.1,17.2,12.4,1.8,100890.0,
20200629,5.0,7.2,283.0,21.7,16.9,12.2,0.0,100980.0,
20200630,7.0,1.9,211.0,19.6,16.2,12.9,0.6,100760.0,
20200701,6.0,0.2,147.0,22.6,18.4,14.2,2.0,100540.0,
20200702,5.0,3.5,211.0,22.6,17.3,12.0,2.0,101060.0,
20200703,7.0,5.8,253.0,22.6,17.3,12.1,3.0,101590.0,
20200704,8.0,5.0,258.0,21.5,18.0,14.6,0.0,101120.0,
20200705,3.0,1.5,153.0,23.1,20.0,16.9,0.0,101050.0,
20200706,4.0,9.7,342.0,20.2,15.8,11.5,0.0,101840.0,
20200707,7.0,4.1,222.0,22.6,17.0,11.4,8.0,102080.0,
20200708,8.0,3.8,200.0,20.5,16.8,13.2,2.8,101500.0,
20200709,7.0,0.1,129.0,20.6,18.1,15.7,2.8,101190.0,
20200710,6.0,0.4,122.0,19.7,16.0,12.4,0.0,101960.0,
20200711,4.0,6.0,279.0,21.6,15.1,8.7,0.0,102700.0,
20200712,7.0,11.0,320.0,25.2,17.6,10.0,0.0,102750.0,
20200713,7.0,13.8,366.0,26.2,19.4,12.7,1.0,102370.0,
20200714,7.0,7.0,290.0,23.1,19.1,15.2,0.0,101670.0,
20200715,8.0,1.5,196.0,19.5,16.5,13.6,0.0,101600.0,
20200716,6.0,1.0,133.0,,,16.1,,102030.0,
20200717,2.0,3.8,220.0,28.6,22.8,17.0,0.0,102060.0,
20200718,5.0,11.8,351.0,26.4,20.7,15.1,0.2,101850.0,
20200719,6.0,7.6,307.0,21.5,18.7,15.9,0.6,101760.0,
20200720,1.0,3.5,198.0,22.6,16.6,10.6,0.0,102260.0,
20200721,3.0,14.7,377.0,22.7,16.4,10.2,0.0,102600.0,
20200722,4.0,13.0,360.0,26.4,20.0,13.6,0.0,102360.0,
20200723,7.0,10.6,325.0,26.6,20.0,13.4,0.0,101680.0,
20200724,7.0,4.0,245.0,25.6,20.8,16.1,0.0,101250.0,
20200725,7.0,1.1,180.0,23.1,20.3,17.5,8.0,100800.0,
20200726,6.0,0.7,129.0,23.7,18.1,12.6,2.4,100980.0,
20200727,7.0,3.3,196.0,21.6,18.6,15.6,2.4,100810.0,
20200728,3.0,1.0,128.0,21.6,17.0,12.5,0.0,101310.0,
20200729,6.0,7.8,256.0,24.6,17.1,9.6,0.0,101990.0,
20200730,1.0,12.1,337.0,29.7,21.3,13.0,0.0,101840.0,
20200731,0.0,14.8,351.0,37.9,27.2,16.6,0.0,101130.0,
20200801,4.0,10.6,305.0,27.7,21.7,15.7,0.0,101460.0,
20200802,3.0,10.4,299.0,25.5,18.5,11.6,0.0,101640.0,
20200803,2.0,9.9,303.0,23.6,18.7,13.9,0.0,101560.0,
20200804,3.0,10.0,289.0,25.0,18.0,11.1,0.0,101630.0,
20200805,6.0,9.4,275.0,26.9,21.2,15.6,0.0,101280.0,
20200806,7.0,6.8,270.0,29.7,23.9,18.2,0.0,101640.0,
20200807,2.0,6.2,232.0,36.5,26.2,16.0,0.0,101780.0,
20200808,7.0,9.9,278.0,33.5,27.1,20.7,0.0,101870.0,
20200809,3.0,7.3,256.0,33.9,25.6,17.4,0.0,101800.0,
20200810,3.0,10.9,290.0,,,18.7,0.0,101370.0,
20200811,1.0,12.8,297.0,35.7,28.4,21.2,0.0,101400.0,
20200812,3.0,10.1,267.0,35.5,28.6,21.7,0.4,101290.0,
20200813,6.0,8.1,227.0,28.5,24.9,21.4,3.0,101220.0,
20200814,8.0,3.4,152.0,20.2,18.7,17.2,0.8,101360.0,
20200815,8.0,0.0,75.0,19.6,18.1,16.6,0.0,101470.0,
20200816,5.0,0.4,76.0,24.9,21.7,18.6,0.8,101070.0,
20200817,6.0,1.8,152.0,25.1,20.1,15.1,3.0,100780.0,
20200818,4.0,6.3,223.0,25.1,20.6,16.2,3.0,100870.0,
20200819,7.0,5.2,182.0,19.6,17.2,14.9,13.6,100440.0,
20200820,1.0,1.7,85.0,25.9,21.0,16.1,0.0,100220.0,
20200821,5.0,12.2,287.0,24.0,20.8,17.6,0.0,100270.0,
20200822,3.0,5.4,209.0,24.5,20.4,16.4,0.2,101120.0,
20200823,5.0,9.5,253.0,23.6,19.1,14.7,0.0,101600.0,
20200824,6.0,5.0,208.0,23.7,18.6,13.6,11.0,101560.0,
20200825,6.0,2.3,176.0,22.5,19.0,15.6,3.0,100270.0,
20200826,6.0,1.8,135.0,23.6,19.4,15.2,0.0,101040.0,
20200827,7.0,4.8,194.0,18.4,15.7,13.0,11.0,101200.0,
20200828,7.0,1.2,105.0,20.4,16.7,13.0,6.0,100100.0,
20200829,7.0,3.6,176.0,16.4,13.8,11.2,0.4,100770.0,
20200830,7.0,0.7,123.0,18.0,14.8,11.6,0.0,101680.0,
20200831,7.0,2.5,134.0,18.5,13.3,8.1,0.0,102190.0,
20200901,1.0,4.9,195.0,21.0,13.8,6.6,0.0,102090.0,
20200902,5.0,10.7,239.0,20.5,14.8,9.1,1.0,101920.0,
20200903,7.0,3.6,136.0,22.5,19.0,15.5,1.0,101560.0,
20200904,7.0,0.4,93.0,20.9,16.7,12.5,0.6,102070.0,
20200905,3.0,3.4,153.0,20.1,14.8,9.6,0.0,102100.0,
20200906,6.0,8.1,201.0,20.6,15.3,10.1,0.0,102080.0,
20200907,6.0,4.4,179.0,22.0,16.0,10.0,0.0,102290.0,
20200908,5.0,1.9,142.0,25.7,20.9,16.1,0.0,102400.0,
20200909,5.0,3.5,150.0,22.4,18.4,14.4,0.0,102350.0,
20200910,4.0,2.3,121.0,20.4,14.7,9.1,0.0,102360.0,
20200911,6.0,8.9,211.0,20.4,14.5,8.7,0.2,101760.0,
20200912,5.0,5.5,184.0,22.7,17.5,12.4,0.0,101870.0,
20200913,2.0,9.6,213.0,25.6,19.2,12.9,0.0,102310.0,
20200914,0.0,12.8,231.0,29.6,20.5,11.4,0.0,102170.0,
20200915,3.0,11.8,226.0,29.5,22.3,15.1,0.0,101780.0,
20200916,5.0,9.3,195.0,26.6,22.6,18.6,0.0,102270.0,
20200917,1.0,7.5,179.0,22.6,17.7,12.9,0.0,102830.0,
20200918,3.0,11.9,220.0,22.0,15.8,9.7,0.0,102320.0,
20200919,2.0,10.7,212.0,25.2,18.9,12.6,0.0,101750.0,
20200920,0.0,10.9,202.0,25.2,19.4,13.7,0.0,101840.0,
20200921,4.0,10.8,194.0,24.9,19.4,13.9,0.0,101780.0,
20200922,3.0,8.3,173.0,25.7,18.9,12.2,1.0,101050.0,
20200923,7.0,8.4,165.0,18.6,17.0,15.4,7.0,100080.0,
20200924,5.0,0.6,86.0,16.9,12.5,8.1,3.0,99640.0,
20200925,5.0,3.4,112.0,15.1,10.8,6.5,0.2,100090.0,
20200926,4.0,6.2,164.0,13.6,10.1,6.6,0.0,101110.0,
20200927,7.0,5.0,146.0,14.6,12.6,10.6,0.0,101260.0,
20200928,3.0,1.6,92.0,18.2,13.2,8.2,2.0,101360.0,
20200929,5.0,5.8,156.0,19.6,17.1,14.7,0.2,101490.0,
20200930,7.0,4.0,130.0,18.1,14.1,10.2,3.0,100870.0,
20201001,6.0,0.9,74.0,16.4,13.7,11.0,4.0,99820.0,
20201002,8.0,2.1,94.0,13.2,11.5,9.9,30.0,98840.0,
20201003,8.0,0.0,30.0,15.9,14.4,12.9,31.0,98680.0,
20201004,8.0,0.3,57.0,11.1,10.0,8.9,5.0,98210.0,
20201005,6.0,0.9,54.0,18.6,13.8,9.1,3.4,99390.0,
20201006,5.0,3.7,124.0,17.5,14.2,10.9,0.0,99780.0,
20201007,5.0,4.7,123.0,17.0,12.6,8.2,4.0,101170.0,
20201008,7.0,5.1,132.0,,,12.2,0.4,101110.0,
20201009,3.0,1.4,81.0,15.1,10.6,6.2,2.0,101860.0,
20201010,4.0,2.9,86.0,14.1,9.5,4.9,0.0,102240.0,
20201011,4.0,0.2,70.0,14.6,11.3,8.1,0.0,102490.0,
20201012,7.0,6.1,111.0,13.6,9.9,6.2,4.0,102070.0,
20201013,6.0,0.0,53.0,11.9,9.0,6.2,1.8,101050.0,
20201014,5.0,0.6,69.0,14.9,11.6,8.4,2.2,101960.0,
20201015,4.0,2.7,97.0,13.5,10.6,7.7,1.0,102430.0,
20201016,3.0,4.9,111.0,14.2,10.7,7.2,0.0,102480.0,
20201017,7.0,2.7,75.0,12.6,11.1,9.6,0.0,102270.0,
20201018,7.0,0.0,51.0,13.0,9.9,6.9,0.0,102390.0,
20201019,7.0,0.9,69.0,16.1,11.8,7.6,2.0,101660.0,
20201020,7.0,2.9,97.0,18.9,15.5,12.1,4.2,100190.0,
20201021,7.0,0.7,67.0,16.1,15.1,14.1,13.0,99650.0,
20201022,4.0,0.8,36.0,17.0,14.3,11.6,0.0,100720.0,
20201023,7.0,4.6,90.0,16.7,13.4,10.1,0.0,100840.0,
20201024,7.0,2.0,59.0,16.2,12.1,8.0,21.0,100340.0,
20201025,1.0,0.9,48.0,13.0,10.2,7.4,0.8,99620.0,
20201026,3.0,3.1,75.0,13.5,10.0,6.5,0.4,99730.0,
20201027,4.0,2.4,63.0,14.1,9.5,5.0,1.0,99860.0,
20201028,6.0,0.0,36.0,13.9,10.9,8.0,2.2,100180.0,
20201029,8.0,1.0,58.0,14.6,11.1,7.6,3.0,101130.0,
20201030,8.0,0.0,28.0,16.2,15.2,14.2,0.2,101540.0,
20201031,7.0,0.0,30.0,15.6,14.5,13.5,7.0,101240.0,
20201101,8.0,0.7,29.0,17.2,13.7,10.2,0.4,100450.0,
20201102,4.0,0.7,37.0,17.1,16.6,16.1,3.8,100360.0,
20201103,4.0,3.7,74.0,11.5,8.8,6.2,2.0,101790.0,
20201104,1.0,3.6,72.0,12.4,6.7,1.1,0.0,103200.0,
20201105,4.0,6.9,86.0,10.9,6.2,1.5,0.2,103900.0,
20201106,6.0,3.0,61.0,12.0,6.8,1.6,0.2,103040.0,
20201107,4.0,2.9,67.0,15.4,9.7,4.1,0.2,102040.0,
20201108,7.0,4.8,71.0,14.1,11.3,8.6,2.0,101810.0,
20201109,7.0,0.0,34.0,16.4,13.2,10.0,7.0,101910.0,
20201110,4.0,0.0,38.0,16.1,12.9,9.7,0.0,102270.0,
20201111,8.0,2.5,55.0,14.0,10.0,6.1,6.2,101920.0,
20201112,4.0,0.2,37.0,13.6,11.5,9.5,0.0,101260.0,
20201113,4.0,4.4,66.0,12.9,11.2,9.5,1.4,101190.0,
20201114,8.0,2.4,49.0,14.1,11.3,8.5,17.0,100820.0,
20201115,4.0,0.7,23.0,13.6,12.8,12.0,6.0,99650.0,
20201116,7.0,1.9,45.0,12.5,9.9,7.4,0.8,101060.0,
20201117,7.0,0.4,35.0,14.6,12.6,10.7,0.0,101990.0,
20201118,7.0,1.2,41.0,16.0,13.5,11.1,0.6,101700.0,
20201119,4.0,1.6,40.0,10.6,9.2,7.9,0.2,102430.0,
20201120,8.0,1.5,29.0,9.7,5.3,0.9,1.0,103380.0,
20201121,7.0,0.0,27.0,12.6,11.1,9.6,0.2,102720.0,
20201122,6.0,0.4,32.0,11.1,10.2,9.4,0.2,102630.0,
20201123,7.0,2.8,45.0,10.5,6.3,2.1,0.0,102740.0,
20201124,7.0,0.9,33.0,12.5,10.2,8.0,0.0,101840.0,
20201125,7.0,1.5,40.0,13.7,10.4,7.1,0.2,101220.0,
20201126,4.0,0.4,23.0,9.0,6.5,4.1,0.0,102080.0,
20201127,7.0,0.8,34.0,6.5,2.9,-0.6,0.2,101970.0,
20201128,8.0,1.6,35.0,10.1,7.6,5.1,0.0,101780.0,
20201129,8.0,0.0,20.0,8.2,8.2,8.2,0.0,102540.0,
20201130,7.0,0.0,17.0,10.2,7.6,5.1,0.0,102480.0,
20201201,2.0,1.0,22.0,8.0,5.9,3.9,0.0,102520.0,
20201202,7.0,5.0,51.0,7.0,4.5,2.1,0.4,101960.0,
20201203,6.0,0.0,20.0,7.4,5.2,3.1,15.0,99340.0,
20201204,7.0,0.0,8.0,5.7,4.4,3.2,0.0,97660.0,
20201205,2.0,0.8,26.0,8.1,5.6,3.1,0.0,98950.0,
20201206,7.0,2.4,37.0,5.2,3.6,2.0,0.2,100130.0,
20201207,8.0,1.0,24.0,2.2,0.9,-0.3,3.0,99940.0,
20201208,7.0,0.2,18.0,4.5,2.2,0.0,2.2,100280.0,
20201209,7.0,1.3,33.0,6.6,4.5,2.4,0.0,100630.0,
20201210,7.0,0.0,25.0,7.5,6.0,4.5,9.0,100000.0,
20201211,6.0,0.0,16.0,11.2,9.0,6.9,0.0,98740.0,
20201212,1.0,0.1,28.0,9.9,8.4,7.0,0.0,99720.0,
20201213,8.0,0.0,27.0,11.1,5.8,0.5,6.0,100340.0,
20201214,6.0,0.5,16.0,12.6,11.1,9.6,1.4,99870.0,
20201215,2.0,2.4,32.0,11.6,8.6,5.6,1.0,100480.0,
20201216,7.0,3.1,36.0,10.6,8.6,6.6,3.2,100710.0,
20201217,3.0,1.1,25.0,11.6,8.9,6.2,0.0,101320.0,
20201218,8.0,4.4,38.0,11.6,10.3,9.0,1.8,101130.0,
20201219,3.0,0.5,15.0,12.5,11.2,9.9,9.0,100450.0,
20201220,1.0,3.3,37.0,10.6,8.6,6.7,0.6,101170.0,
20201221,8.0,3.9,37.0,13.9,9.5,5.1,3.0,100770.0,
20201222,8.0,0.0,16.0,11.7,11.7,11.7,0.6,100970.0,
20201223,7.0,0.0,23.0,14.0,12.0,10.1,1.8,100550.0,
20201224,2.0,1.3,32.0,6.1,6.1,6.1,0.0,101830.0,
20201225,6.0,3.5,40.0,4.6,2.6,0.7,0.0,103100.0,
20201226,,2.1,38.0,10.0,4.9,-0.1,12.0,101960.0,
20201227,1.0,0.9,32.0,7.5,7.5,7.6,2.0,98000.0,
20201228,7.0,3.7,38.0,3.6,1.1,-1.3,0.2,97370.0,
20201229,7.0,0.0,21.0,4.1,2.6,1.1,0.0,98830.0,
20201230,6.0,0.4,22.0,5.6,2.7,-0.1,0.0,100200.0,
20201231,7.0,1.3,34.0,1.5,-0.8,-3.1,0.0,100500.0,
