y,x1,x2
1.0,43.161,36.221
2.0,33.264,36.532
1.0,56.932,76.234
2.0,97.708,54.244
2.0,30.78,32.871
1.0,7.117,4.374
1.0,37.295,97.076
1.0,55.055,55.716
1.0,54.07,22.135
1.0,38.638,6.518
1.0,54.169,55.352
1.0,56.769,28.262
2.0,97.946,70.336
2.0,2.266,96.998
2.0,97.981,54.056
2.0,96.284,19.107
1.0,22.869,86.938
2.0,84.446,51.882
1.0,5.257,1.56
1.0,11.498,89.237
2.0,62.295,44.594
1.0,44.609,56.393
1.0,58.609,35.949
2.0,15.524,47.389
1.0,28.269,13.102
2.0,98.409,33.468
2.0,95.252,9.857
1.0,39.929,94.435
